[2024-10-30 20:33:00] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-30 20:33:00] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-30 20:33:00] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-30 20:33:01] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-30 20:33:01] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-30 20:33:01] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-30 20:33:01] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\Vauler/wp-content/uploads\simply-static\temp-files/simply-static-1-1730320380\
[2024-10-30 20:33:01] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/vauler/
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/editor-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/editor-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/editor.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/editor.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-lite-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-lite-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-lite.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-msie.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-msie.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/frontend.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/loop-grid-cta.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/loop-grid-cta.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/code-highlight.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/code-highlight.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/custom-code-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/custom-code-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/custom-code.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/custom-code.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/forms/submissions/admin-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/forms/submissions/admin-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/forms/submissions/admin.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/forms/submissions/admin.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/notes/frontend.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/modules/notes/frontend.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/preview-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/preview-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/preview.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/preview.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-lite-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-lite-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-lite.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-lite.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-rtl.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/frontend.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-call-to-action-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-call-to-action.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-flip-box-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-flip-box.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-mega-menu-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-mega-menu.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-nav-menu-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-nav-menu.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-slides-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-slides.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-video-playlist-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/templates/widget-video-playlist.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-blockquote-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-blockquote.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-carousel-rtl.min.css
[2024-10-30 20:33:07] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-countdown-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-flip-box-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-flip-box.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-forms-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-forms.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-gallery-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-gallery.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-global-widget-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-global-widget.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-hotspot-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-hotspot.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-loop-filter-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-loop-filter.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-lottie-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-motion-fx-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-motion-fx.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-nested-carousel-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-nested-carousel.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-notes-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-notes.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-payments-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-payments.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-popup-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-popup.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-posts-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-pricing-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-pricing.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-progress-tracker-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-progress-tracker.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-search-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-search.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-slides-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-social-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-social.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-sticky-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-sticky.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-theme-builder-rtl.min.css
[2024-10-30 20:33:08] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-theme-builder.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements-rtl.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist-rtl.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-rtl.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/woocommerce-notices.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/css/woocommerce-notices.min.css
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/images/announcements/license-expired.png
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/images/logo-placeholder.png
[2024-10-30 20:33:09] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: http://localhost/vauler/wp-content/plugins/elementor-pro/assets/data/responsive-widgets.json
[2024-10-30 20:33:10] [class-ss-archive-creation-job.php:175] We've found our next task: fetch_urls
[2024-10-30 20:33:10] [class-ss-archive-creation-job.php:136] Current task: fetch_urls
[2024-10-30 20:33:10] [class-ss-archive-creation-job.php:153] Performing task: fetch_urls
[2024-10-30 20:33:10] [class-ss-fetch-urls-task.php:69] Total pages: 881; Pages remaining: 881
[2024-10-30 20:33:10] [class-ss-fetch-urls-task.php:72] URL: http://localhost/vauler/
[2024-10-30 20:33:10] [class-ss-task.php:58] [PAGES STATUS] Remaining:50; Total: 881
[2024-10-30 20:33:10] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-30 20:33:10] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/67229806ade8a-mn5j7B.tmp
[2024-10-30 20:33:10] [class-ss-page-handler.php:38] URL Prepared:http://localhost/vauler/?simply_static_page=1
[2024-10-30 20:33:10] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/vauler/?simply_static_page=1
[2024-10-30 20:33:21] [class-ss-url-fetcher.php:103] Filesize: 155439 bytes
[2024-10-30 20:33:21] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/html; charset=UTF-8
[2024-10-30 20:33:21] [class-ss-url-fetcher.php:233] New filename for static page: /index.html
[2024-10-30 20:33:21] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/67229806ade8a-mn5j7B.tmp to C:\xampp\htdocs\Vauler/wp-content/uploads\simply-static\temp-files/simply-static-1-1730320380/index.html
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:159] Adding 109 URLs to the queue
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-30 20:33:22] [class-ss-page.php:119] Checking Content Identical:c8679a22281abb57770f661de78220570093f53b===. Value: FALSE
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:72] URL: http://localhost/vauler/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-30 20:33:22] [class-ss-task.php:58] [PAGES STATUS] Remaining:49; Total: 881
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/67229812b67cd-5CgKUJ.tmp
[2024-10-30 20:33:22] [class-ss-page-handler.php:38] URL Prepared:http://localhost/vauler/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json?simply_static_page=2
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/vauler/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json?simply_static_page=2
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:103] Filesize: 851 bytes
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: application/json
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\Jesus\AppData\Local\Temp/67229812b67cd-5CgKUJ.tmp to C:\xampp\htdocs\Vauler/wp-content/uploads\simply-static\temp-files/simply-static-1-1730320380/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-10-30 20:33:22] [class-ss-page.php:119] Checking Content Identical:c2be3106d54785ca1e0cf07759baed3487deaf19===. Value: FALSE
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:72] URL: http://localhost/vauler/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-10-30 20:33:22] [class-ss-task.php:58] [PAGES STATUS] Remaining:48; Total: 881
[2024-10-30 20:33:22] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-10-30 20:33:22] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\Jesus\AppData\Local\Temp/67229812bf5ac-UX81kW.tmp
